S.No,name,title,male,culture,dateOfBirth,house,book1,book2,book3,book4,book5,isMarried,isNoble,age,numDeadRelations,popularity,isAlive,have_high_title
1,Viserys II Targaryen,no_title,1,unknown,,unknown,0,0,0,0,0,0,0,,11,0.605351170568561,0,0
2,Walder Frey,Lord,1,Rivermen,208.0,House Frey,1,1,1,1,1,1,1,97.0,1,0.896321070234113,1,1
3,Addison Hill,no_title,1,unknown,,House Swyft,0,0,0,1,0,0,1,,0,0.267558528428093,1,0
4,Aemma Arryn,no_title,0,unknown,82.0,House Arryn,0,0,0,0,0,1,1,23.0,0,0.183946488294314,0,0
5,Sylva Santagar,no_title,0,Dornish,276.0,House Santagar,0,0,0,1,0,1,1,29.0,0,0.0434782608695652,1,0
6,Tommen Baratheon,no_title,1,unknown,,unknown,0,0,0,0,0,0,0,,5,1.0,1,0
7,Valarr Targaryen,King,1,Valyrian,183.0,House Targaryen,0,0,0,0,0,1,1,26.0,0,0.431438127090301,0,1
8,Viserys I Targaryen,no_title,1,unknown,,unknown,0,0,0,0,0,0,0,,5,0.678929765886287,0,0
9,Wilbert,no_title,1,unknown,,unknown,0,0,1,0,0,0,1,,0,0.0066889632107023,0,0
10,Wilbert Osgrey,no_title,1,unknown,,House Osgrey,0,0,0,0,0,0,1,,0,0.020066889632107,1,0
11,Will,no_title,1,unknown,,Night's Watch,1,1,0,0,0,0,0,,0,0.163879598662207,0,0
12,Will (orphan),no_title,0,unknown,,unknown,0,0,0,1,0,0,0,,0,0.0033444816053511,1,0
13,Will (squire),no_title,1,unknown,,unknown,0,0,0,0,0,0,0,,0,0.0033444816053511,1,0
14,Will (Standfast),no_title,0,unknown,,House Osgrey,0,0,0,0,0,0,0,,0,0.0033444816053511,1,0
15,Will (Treb),no_title,1,unknown,,House Osgrey,0,0,0,0,0,0,0,,0,0.0033444816053511,1,0
16,Will Humble,no_title,1,Ironborn,,House Humble,0,0,0,1,0,0,0,,0,0.0133779264214046,1,0
17,Willam,no_title,1,unknown,,unknown,0,0,0,1,0,0,0,,0,0.0133779264214046,1,0
18,Willem Wylde,no_title,1,unknown,,House Wylde,0,0,0,0,0,0,1,,0,0.020066889632107,1,0
19,Willifer,no_title,0,unknown,,unknown,0,0,0,1,0,0,1,,0,0.0066889632107023,1,0
